"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CPI","TOT","AGRWTH","M","1956-01",0.3745318,
"USA","CPI","TOT","AGRWTH","M","1956-02",0.3745318,
"USA","CPI","TOT","AGRWTH","M","1956-03",0.3745318,
"USA","CPI","TOT","AGRWTH","M","1956-04",0.7490637,
"USA","CPI","TOT","AGRWTH","M","1956-05",1.123595,
"USA","CPI","TOT","AGRWTH","M","1956-06",1.872659,
"USA","CPI","TOT","AGRWTH","M","1956-07",2.238806,
"USA","CPI","TOT","AGRWTH","M","1956-08",1.865672,
"USA","CPI","TOT","AGRWTH","M","1956-09",1.858736,
"USA","CPI","TOT","AGRWTH","M","1956-10",2.230483,
"USA","CPI","TOT","AGRWTH","M","1956-11",2.230483,
"USA","CPI","TOT","AGRWTH","M","1956-12",2.985075,
"USA","CPI","TOT","AGRWTH","M","1957-01",2.985075,
"USA","CPI","TOT","AGRWTH","M","1957-02",3.358209,
"USA","CPI","TOT","AGRWTH","M","1957-03",3.731343,
"USA","CPI","TOT","AGRWTH","M","1957-04",3.717472,
"USA","CPI","TOT","AGRWTH","M","1957-05",3.703704,
"USA","CPI","TOT","AGRWTH","M","1957-06",3.308824,
"USA","CPI","TOT","AGRWTH","M","1957-07",3.284672,
"USA","CPI","TOT","AGRWTH","M","1957-08",3.663004,
"USA","CPI","TOT","AGRWTH","M","1957-09",3.284672,
"USA","CPI","TOT","AGRWTH","M","1957-10",2.909091,
"USA","CPI","TOT","AGRWTH","M","1957-11",3.272727,
"USA","CPI","TOT","AGRWTH","M","1957-12",2.898551,
"USA","CPI","TOT","AGRWTH","M","1958-01",3.623188,
"USA","CPI","TOT","AGRWTH","M","1958-02",3.249098,
"USA","CPI","TOT","AGRWTH","M","1958-03",3.597122,
"USA","CPI","TOT","AGRWTH","M","1958-04",3.584229,
"USA","CPI","TOT","AGRWTH","M","1958-05",3.214286,
"USA","CPI","TOT","AGRWTH","M","1958-06",2.846975,
"USA","CPI","TOT","AGRWTH","M","1958-07",2.473498,
"USA","CPI","TOT","AGRWTH","M","1958-08",2.120141,
"USA","CPI","TOT","AGRWTH","M","1958-09",2.120141,
"USA","CPI","TOT","AGRWTH","M","1958-10",2.120141,
"USA","CPI","TOT","AGRWTH","M","1958-11",2.112676,
"USA","CPI","TOT","AGRWTH","M","1958-12",1.760563,
"USA","CPI","TOT","AGRWTH","M","1959-01",1.398601,
"USA","CPI","TOT","AGRWTH","M","1959-02",1.048951,
"USA","CPI","TOT","AGRWTH","M","1959-03",0.3472222,
"USA","CPI","TOT","AGRWTH","M","1959-04",0.3460208,
"USA","CPI","TOT","AGRWTH","M","1959-05",0.3460208,
"USA","CPI","TOT","AGRWTH","M","1959-06",0.6920415,
"USA","CPI","TOT","AGRWTH","M","1959-07",0.6896552,
"USA","CPI","TOT","AGRWTH","M","1959-08",1.038062,
"USA","CPI","TOT","AGRWTH","M","1959-09",1.384083,
"USA","CPI","TOT","AGRWTH","M","1959-10",1.730104,
"USA","CPI","TOT","AGRWTH","M","1959-11",1.37931,
"USA","CPI","TOT","AGRWTH","M","1959-12",1.730104,
"USA","CPI","TOT","AGRWTH","M","1960-01",1.034483,
"USA","CPI","TOT","AGRWTH","M","1960-02",1.730104,
"USA","CPI","TOT","AGRWTH","M","1960-03",1.730104,
"USA","CPI","TOT","AGRWTH","M","1960-04",1.724138,
"USA","CPI","TOT","AGRWTH","M","1960-05",1.724138,
"USA","CPI","TOT","AGRWTH","M","1960-06",1.718213,
"USA","CPI","TOT","AGRWTH","M","1960-07",1.369863,
"USA","CPI","TOT","AGRWTH","M","1960-08",1.369863,
"USA","CPI","TOT","AGRWTH","M","1960-09",1.023891,
"USA","CPI","TOT","AGRWTH","M","1960-10",1.360544,
"USA","CPI","TOT","AGRWTH","M","1960-11",1.360544,
"USA","CPI","TOT","AGRWTH","M","1960-12",1.360544,
"USA","CPI","TOT","AGRWTH","M","1961-01",1.706485,
"USA","CPI","TOT","AGRWTH","M","1961-02",1.360544,
"USA","CPI","TOT","AGRWTH","M","1961-03",1.360544,
"USA","CPI","TOT","AGRWTH","M","1961-04",1.016949,
"USA","CPI","TOT","AGRWTH","M","1961-05",1.016949,
"USA","CPI","TOT","AGRWTH","M","1961-06",0.6756757,
"USA","CPI","TOT","AGRWTH","M","1961-07",1.351351,
"USA","CPI","TOT","AGRWTH","M","1961-08",1.013514,
"USA","CPI","TOT","AGRWTH","M","1961-09",1.351351,
"USA","CPI","TOT","AGRWTH","M","1961-10",0.671141,
"USA","CPI","TOT","AGRWTH","M","1961-11",0.671141,
"USA","CPI","TOT","AGRWTH","M","1961-12",0.671141,
"USA","CPI","TOT","AGRWTH","M","1962-01",0.671141,
